許可・届出受理番号,事業主名称,事業所名称,事業所所在地,電話番号,派遣労働者数,派遣先件数,得意とする職種
派01-010122,株式会社エーティック,株式会社エーティック,北海道札幌市西区二十四軒一条五丁目6番1号,011-644-2845,8人,7件,
派01-010123,株式会社ブライトサッポロ,株式会社ブライトサッポロ,北海道札幌市中央区大通東3丁目1-1　トルチュビル5階,011-241-0345,,,
派01-010151,株式会社　エイチビーケーサポートワーク,株式会社　エイチビーケーサポートワーク,北海道札幌市西区発寒6条9丁目1番10号　ペルル宮の沢3F,011-671-2788,,,
派01-010152,株式会社　サンシャイン,サンシャインスタッフィング,北海道札幌市中央区北五条西六丁目1番地23　第二北海道通信ビル9階,011-232-2301,12人,8件,
派01-010159,株式会社　道新アクセス,株式会社　道新アクセス,北海道札幌市中央区大通西3丁目6番地　道新ビル北1条館9階,011-221-9870,39人,15件,
派01-010176,道協建設 株式会社,道協建設 株式会社,北海道札幌市中央区北16条西16丁目1番2号,011-716-6455,,,
派01-010180,ホクビサービス株式会社,ホクビサービス株式会社,北海道札幌市中央区北4条西14丁目1番23号　第二北美マンション1F,011-204-6501,,,
派01-010185,三城美装　株式会社,三城美装株式会社,北海道札幌市中央区南6条西20丁目1番16号,011-563-7881,,,
派01-010198,株式会社 北海道ビル代行,株式会社 北海道ビル代行,北海道札幌市中央区北1条西7丁目3番地　北一条第一生命ビル1F・2F  ,011-271-0015,,,
派01-010200,株式会社アイティ・コミュニケーションズ,株式会社アイティ・コミュニケーションズ,北海道札幌市中央区北3条西3丁目1番5　井門札幌北三条ビル,011-233-0021,,,
派01-010200,株式会社アイティ・コミュニケーションズ,株式会社アイティ・コミュニケーションズ　釧路支社,北海道釧路市末広町10-1-16,0154-22-9921,,,
派01-010202,株式会社東洋実業,株式会社東洋実業　札幌本社,北海道札幌市中央区北6条西22丁目2番7号,011-641-1353,155人,24件,
派01-010218,株式会社　札総,株式会社　札総,北海道札幌市中央区北4条西16丁目1　ﾃﾙｳｪﾙ札幌第1ﾋﾞﾙ6F,011-676-7800,,,通信業界一般事務職、コールセンタ（受電）、コールセンタ（発信）
派01-010219,株式会社アルファ水工コンサルタンツ,株式会社アルファ水工コンサルタンツ,北海道札幌市西区発寒9条14-516-336,011-662-3331,,,
派01-020018,株式会社YGフラッグシップ,株式会社YGフラッグシップ,北海道北斗市七重浜1丁目8番1号,0138-48-0350,25人,6件,
派01-020019,株式会社　ケイズサービス ,株式会社　ケイズサービス,北海道函館市追分町5番38号,0138-45-5300,13人,3件,
派01-020020,株式会社　マルゼンシステムズ ,株式会社　マルゼンシステムズ,北海道函館市末広町22番21号,0138-26-9335,,,
派01-030003,株式会社コンピューター・ビジネス,株式会社コンピューター・ビジネス,北海道旭川市緑が丘東1条4丁目2番14号,0166-65-4511,2人,2件,
派01-030017,旭川運送 株式会社,旭川運送 株式会社,北海道旭川市流通団地四条五丁目31番地1,0166-48-5848,0人,0件,
派01-030019,ビジネットグループ　株式会社,ビジネットグループ　株式会社  ,北海道旭川市七条通十三丁目59番地,0166-23-7777,40人,24件,
派01-040001,株式会社　ほっかいどう,株式会社　ほっかいどう,北海道帯広市公園東町3丁目11-1　グリーンテラス2Ｆ,0155-26-7227,,,
派01-050008,北見日通運輸　株式会社,北見日通運輸株式会社,北海道北見市東相内町108番32,0157-36-2131,,,
派01-070001,株式会社ホープ・ワン,株式会社ホープ・ワン,北海道小樽市築港11-5　WING　BAY小樽4Ｆ,0134-31-1311,,,
派01-090004,釧路ワークアクト株式会社,釧路ワークアクト株式会社,北海道釧路市錦町5丁目3番地　三ツ輪ビル5階,0154-22-1688,19人,13件,
派01-100001,株式会社 中田商会,株式会社 中田商会,北海道室蘭市東町二丁目5番12号,0143-43-7669,10人,3件,
派01-100003,北日本産業株式会社,北日本産業株式会社,北海道室蘭市中島町4丁目7番14号,0143-43-5248,0人,0件,
派01-100003,北日本産業株式会社,北日本産業　株式会社　苫小牧営業所,北海道苫小牧市新開町3丁目17番2号,0144-51-6888,46人,10件,
派01-170001,日豊運輸株式会社,日豊運輸株式会社,北海道夕張郡長沼町東1線北15番地,0123-89-2021,,,
派01-190002,協同組合苫自整ビジネスサービス,協同組合 苫自整ビジネスサービス,北海道苫小牧市新開町4-6-18,0144-55-2340,,,
派01-190004,株式会社　苫小牧エージェンシー,株式会社苫小牧エージェンシー,北海道苫小牧市末広町3丁目6番14号,0144-33-0268,,,
派01-230001,株式会社札幌人材サービス,株式会社札幌人材サービス,北海道札幌市豊平区月寒東1条8丁目1番48号,011-859-8580,14人,5件,労働者派遣業、設計業務、一般事務
派01-230004,北陽警備保障　株式会社,北陽警備保障　株式会社,北海道札幌市豊平区月寒中央通二丁目3番20号,011-859-8211,,,
派01-230013,株式会社ビーハイヴ,株式会社ビーハイヴ,北海道札幌市豊平区西岡五条十四丁目25番23号,011-211-5083,,,
派01-230019,共通運送株式会社,共通運送株式会社,北海道札幌市白石区平和通11丁目北6番19号,011-862-8288,,,
派01-230023,株式会社ファーストステップ,株式会社ファーストステップ,北海道札幌市厚別区厚別中央2条5-2-1　クラスター・ユー・エム2F,011-892-8500,,,家電製品販売
派01-230033,北海安田倉庫　株式会社,北海安田倉庫　株式会社,北海道札幌市白石区流通センター4-4-16,011-866-1855,,,
派01-230034,株式会社　アネックス,株式会社　アネックス,北海道札幌市白石区本郷通7丁目北6-20　第一加治屋ビル3F,011-867-5730,199人,42件,
派01-230034,株式会社　アネックス,株式会社　アネックス　帯広営業所,北海道帯広市東1条南1丁目1 東1条ビル3F,0155-27-7222,118人,24件,
派01-230044,極東運輸　株式会社,極東運輸 株式会社,北海道札幌市白石区流通センター5丁目3番6号,011-864-3352,,,
派01-240003,札幌ビジネス・サポート株式会社,札幌ビジネス・サポート株式会社　プロスタッフ・オフィス,北海道札幌市東区北十六条東十九丁目1番14号,011-780-1135,,,
派01-240014,株式会社札幌ダイカンサービス,株式会社札幌ダイカンサービス,北海道札幌市北区北22条西2丁目1番16号　横山ビル ,011-727-7703,,,
派01-240017,株式会社　データベース,株式会社　データベース,北海道札幌市北区北7条西5-8-5　データビル,011-726-7661,,,
派01-240035,株式会社　ネオコーポレーション,株式会社　ネオコーポレーション,北海道札幌市中央区大通西十四丁目1番地14　NEO bldg.　3F、4F,011-208-7117,,,
派01-240036,ＫＥサービス株式会社,ＫＥサービス株式会社,北海道札幌市東区北18条東18丁目1番2号　食品資材ビル2F,011-785-2111,,,
派01-240047,タウン警備　株式会社,タウン警備　株式会社,北海道札幌市東区北31条東1-7-1,011-751-1456,,,
派01-300001,日通帯広運輸　株式会社,日通帯広運輸　株式会社,北海道帯広市西二十条北一丁目１７番地１,0155-33-2727,20人,4件,フォークリフトOP、農産関連作業
派01-300001,日通帯広運輸　株式会社,日通帯広運輸　株式会社　音更流通事業所,北海道河東郡音更町新通１９丁目３番地４　２階,0155-42-8922,4人,1件,
派01-300002,株式会社　ネイヴルソリューションスタッフ,株式会社　ネイヴルソリューションスタッフ,北海道札幌市白石区北郷2条4丁目5-8,011-376-1267,,,
派01-300007,株式会社　札幌トーウン,株式会社　札幌トーウン　総務部,北海道石狩市新港中央2丁目755番地5,0133-64-5507,24人,10件,倉庫業現業、倉庫業事務
派01-300011,株式会社　ロックウェル ,株式会社　ロックウェル,北海道札幌市中央区大通西13丁目4番120　ｼﾞｪﾈｼｽﾋﾞﾙ4階 ,011-290-1800,,,
派01-300015,株式会社プライムツーワン,株式会社プライムツーワン　運営本部,北海道札幌市豊平区月寒東五条十丁目3番3号　プライムﾋﾞﾙ3階,011-859-3393,1人,1件,
派01-300016,北海道互光　株式会社,北海道互光　株式会社,北海道札幌市中央区北一条西七丁目1番プレスト1･7（7F）,011-221-5555,,,
派01-300021,株式会社ジェイサポート,株式会社ジェイサポート,北海道札幌市北区北7条西4丁目8番3号　北口ヨシヤビル3F,011-706-1103,,,
派01-300024,株式会社クリーン開発,株式会社クリーン開発,北海道千歳市流通1丁目4番7号,0123-24-7787,,,
派01-300029,株式会社　キャリア・フォース,株式会社　キャリア・フォース,北海道札幌市北区北七条西四丁目1番　トーカン札幌駅前ビル5階501ｰ2号室,011-736-1113,57人,13件,介護、清掃、食品製造
派01-300031,株式会社　アシタバ,株式会社　アシタバ,北海道札幌市東区北14条東15丁目3-5　STﾋﾞﾙ4F,011-784-6000,,,
派01-300031,株式会社　アシタバ,株式会社　アシタバ　大通オフィス,北海道札幌市中央区大通西5丁目8番地　昭和ビル３Ｆ,011-211-1313,,,
派01-300032,株式会社　イシイ機械リース,株式会社　イシイ機械リース,北海道紋別郡雄武町字雄武67番地の12 ,0158-84-3628,,,
派01-300046,株式会社　札幌ロジステックス,株式会社　札幌ロジステックス,北海道石狩市新港西3丁目702番9　株式会社食品急送石狩第二センター1階,0133-76-2600,9人,9件,倉庫内作業員、フォークリフト作業員
派01-300048,株式会社コミュニティーワークス,株式会社コミュニティーワークス,北海道岩見沢市駒園1丁目1番32号,0126-33-9214,,,
派01-300052,北海道クリーン開発　株式会社,北海道クリーン開発　株式会社,北海道苫小牧市寿町2-3-14,0144-33-6323,1人,1件,
派01-300054,株式会社　美備 ,株式会社美備　本店 ,北海道苫小牧市泉町1-7-8,0144-38-3300,,,
派01-300060,株式会社　ベリージャパン,株式会社　ベリージャパン,北海道旭川市曙北3条7-3-10,0166-25-4411,0人,0件,ビルメンテナンス
派01-300063,ダイビ株式会社,ダイビ株式会社,北海道旭川市宮下通四丁目2番5号 JA上川ビル1階,0166-23-3302,,,
派01-300067,株式会社　シン技術コンサル ,株式会社　シン技術コンサル,北海道札幌市白石区栄通2丁目8番30号,011-859-2601,0人,0件,文化財調査
派01-300068,株式会社ヒューマンリンクス,株式会社ヒューマンリンクス,北海道帯広市西十五条南十二丁目1番地45,0155-41-0155,1人,1件,一般事務員、販売員
派01-300070,メイツセレクト　株式会社,メイツセレクト　株式会社,北海道札幌市白石区栄通16丁目7番13号,011-857-8311,77人,48件,
派01-300072,サンビーム興産　有限会社,サンビーム興産　有限会社,北海道十勝郡浦幌町字住吉町27番地の1,01557-9-7171,64人,3件,
派01-300074,北日本環境開発株式会社,北日本環境開発株式会社,北海道苫小牧市表町三丁目1番12号　第2ＣＫビル2階 ,0144-32-5939,,,労働者派遣事業
派01-300075,士別運送　株式会社,士別運送株式会社,北海道士別市南町東3区472番地3,0165-23-2118,,,
派01-300080,株式会社　ケー・エスエスポワール,株式会社　ケー・エスエスポワール　士幌事業所,北海道河東郡士幌町字士幌西2線146番地,01564-5-4202,47人,2件,工場の清掃業務
派01-300084,高橋土建　株式会社,高橋土建 株式会社,北海道常呂郡佐呂間町字宮前町74番地,01587-2-3306,,,
派01-300085,有限会社ガーディアン美警,有限会社ガーディアン美警,北海道函館市昭和四丁目41番1号,0138-85-8884,69人,15件,
派01-300086,株式会社　ケイビ ,株式会社　ケイビ,北海道函館市鍛治1丁目6番18号,0138-56-5668,1人,1件,
派01-300090,三宝産業 株式会社,三宝産業 株式会社,北海道河西郡芽室町東芽室基線1番地4,0155-61-2388,12人,1件,
派01-300091,大和梱包 株式会社,大和梱包 株式会社,北海道札幌市白石区菊水八条四丁目2番25号,011-814-1111,2人,1件,
派01-300092,株式会社　セクター,株式会社　セクター,北海道札幌市中央区南2条東2丁目9番地　大都ビル8階 ,011-219-3033,,,
派01-300094,有限会社　アトムプロジェクト,有限会社　アトムプロジェクト　札幌オフィス,北海道札幌市豊平区福住1条1丁目10番1号　アーバン館福住201号,011-836-9095,,,
派01-300095,株式会社エンジニアリンググループ,株式会社エンジニアリンググループ,北海道苫小牧市拓勇西町2丁目12番16号,0144-82-9557,,,
派01-300097,株式会社 巨都運輸,株式会社 巨都運輸　本社営業所,北海道北斗市追分3丁目3番12号,0138-49-3131,,,
派01-300119,株式会社ケイエスピーサービス,株式会社ケイエスピーサービス,北海道札幌市白石区東札幌2条6-5-1　ターミナルハイツ白石701,011-863-1165,,,
派01-300134,有限会社　ワイズスタッフ,有限会社　ワイズスタッフ,北海道岩見沢市鳩が丘二丁目5番15号,0126-23-6622,,,
派01-300135,北央貨物運輸 株式会社,北央貨物運輸 株式会社,北海道富良野市字西扇山の1,0167-22-4533,,,
派01-300137,エクセル株式会社,エクセル株式会社,北海道岩見沢市五条西三丁目2番地7　カギヤビル1階,0126-25-6711,23人,25件,
派01-300138,合資会社サッポロワークス,合資会社サッポロワークス,北海道札幌市北区北三十四条西二丁目1－10　柏倉ビル1F,011-708-1411,,,
派01-300148,相澤　政則,相澤サポートスタッフ,北海道河東郡鹿追町鹿追北五線2番地23,01566-6-3508,,,
派01-300151,有限会社　e-works,有限会社　e-works,北海道恵庭市京町80番地,0123-33-5555,86人,36件,
派01-300153,株式会社グローバル・コミュニケーションズ,株式会社グローバル・コミュニケーションズ,北海道函館市桔梗町379番16,0138-34-5566,,,
派01-300159,株式会社　ティーエストレード,株式会社　ティーエストレード,北海道千歳市北信濃871-32,0123-22-2730,,,
派01-300160,株式会社エルフィンウエブ,株式会社エルフィンウエブ,北海道札幌市中央区大通西18丁目1番地12　カンダミニアム大通303号室,011-887-8641,,,
派01-300169,日興美装工業 株式会社,日興美装工業株式会社　本社,北海道札幌市北区北十九条西四丁目1番21号,011-726-8161,,,
派01-300171,アークジョイン　株式会社,アークジョイン　株式会社　函館本店,北海道函館市西桔梗町589-44,0138-48-0810,0人,0件,
派01-300190,函港作業株式会社,函港作業株式会社,北海道函館市万代町19-32,0138-41-7128,,,
派01-300191,株式会社ハンドクラップ,株式会社ハンドクラップ,北海道札幌市中央区大通西20-3-24　W’S大通ビル3階,011-615-8500,,,
派01-300192,株式会社ナカヤマ,株式会社ナカヤマ,北海道紋別郡湧別町中湧別北町46番地の1,01586-2-2700,,,
派01-300195,株式会社　つうけんアクティブ,株式会社　つうけんアクティブ,北海道札幌市中央区南20条西10丁目3番5号　つうけん南20条ﾋﾞﾙ3階,011-530-0900,,,
派01-300201,株式会社セイショウ,株式会社セイショウ,北海道札幌市豊平区美園四条一丁目4番17号　駒崎ビル2階,011-833-6931,72人,55件,
派01-300201,株式会社セイショウ,株式会社セイショウ　道北営業所,北海道旭川市宮下通7丁目3897番地1　旭川駅前ビル1階,0166-73-9578,126人,27件,
派01-300201,株式会社セイショウ,株式会社セイショウ　苫小牧営業所,北海道苫小牧市若草町1丁目3番12号,0144-84-6117,,,
派01-300201,株式会社セイショウ,株式会社セイショウ　函館営業所,北海道函館市若松町22番15号　砂子ビル201号室,0138-84-6172,18人,22件,
派01-300201,株式会社セイショウ,株式会社セイショウ　札幌西営業所,北海道札幌市西区八軒3条東1丁目7番15号,011-624-6824,56人,24件,
派01-300201,株式会社セイショウ,株式会社　セイショウ　千歳営業所,北海道千歳市朝日町8丁目1206番地51　釜田ビル1Ｆ　Ｂ号室,0123-29-3611,13人,5件,
派01-300211,伊達環境管理株式会社,伊達環境管理株式会社,北海道伊達市末永町58-10,0142-25-3391,,,
派01-300212,株式会社　室町興業,株式会社　室町興業,北海道室蘭市小橋内町1丁目18番5号,0143-23-5903,3人,1件,
派01-300213,有限会社オオタ,有限会社オオタ,北海道帯広市西9条南30丁目11番地1,0155-47-0913,,,
派01-300216,株式会社八神エモーション,株式会社八神エモーション,北海道札幌市清田区美しが丘1条1丁目2番7号,011-885-7488,,,
派01-300216,株式会社八神エモーション,株式会社八神エモーション　函館事業所,北海道亀田郡七飯町大川1丁目2番18号　馬場店舗　1階左 ,0138-65-9088,,,
派01-300218,株式会社　米澤通商,株式会社　米澤通商　本社,北海道河西郡芽室町東芽室北一線4-4,0155-62-5880,,,
派01-300222,ヤマモト食販株式会社,ヤマモト食販株式会社,北海道札幌市手稲区曙５条４丁目２番１号,011-686-4283,,,
派01-300225,株式会社ドボク管理,株式会社ドボク管理,北海道北見市中央三輪8丁目16番地7,0157-36-2233,,,
派01-300227,株式会社メガテック,株式会社メガテック,北海道室蘭市茶津町4番地,0143-25-6066,78人,12件,金属溶接・溶断、鉄工・製缶工、製品検査
派01-300228,川本産業株式会社,川本産業株式会社,北海道札幌市北区北28条西15丁目2番5号,090-7655-3116,,,
派01-300235,中央コンピューターサービス株式会社,中央コンピューターサービス株式会社,北海道札幌市白石区本通7丁目北1番33号 ＣＣＳビル3F,011-864-6662,,,
派01-300237,株式会社アドバンスリサーチ,株式会社アドバンスリサーチ,北海道札幌市中央区北4条西5-1　アスティ45　14Ｆ,011-241-3885,21人,1件,
派01-300240,株式会社ビーグライド,株式会社ビーグライド,北海道札幌市中央区大通西９丁目３番地３３　キタコーセンタービルディング５階　,011-290-3377,,,
派01-300241,ＮＢＣコンサルタンツ　株式会社,ＮＢＣコンサルタンツ　株式会社,北海道札幌市東区東苗穂4条2丁目1番58号,011-786-6777,,,
派01-300242,株式会社ホクセキ,株式会社ホクセキ,北海道北見市北上101番地1,0157-39-3182,,,
派01-300245,株式会社　農土コンサル,株式会社　農土コンサル,北海道札幌市北区北７条西６丁目２番地５　ＮＤビル６階　,011-747-7321,1人,1件,土木工事の監督支援
派01-300247,株式会社ヴァックスラボ,株式会社ヴァックスラボ,北海道札幌市中央区南1条西9丁目4番地2　ラボ1・9ビル5階,011-252-5215,21人,6件,プログラマー、システムエンジニア
派01-300248,株式会社クリーンコーポレーション,株式会社クリーンコーポレーション,北海道札幌市中央区南22条西6-2-25　エムズ南22条第3ビル4階,011-551-3250,,,
派01-300249,日軽北海道株式会社,日軽北海道株式会社,北海道苫小牧市晴海町４３番地３　日本軽金属株式会社苫小牧製造所内,0144-55-7161,7人,3件,
派01-300252,株式会社ササキ,株式会社ササキ,北海道苫小牧市豊川町三丁目12番4号,0144-73-0384,,,
派01-300257,株式会社　ミライト・モバイル・イースト,株式会社　ミライト・モバイル・イースト　札幌本店,北海道札幌市東区伏古5条5丁目4番15号,011-783-9851,,,
派01-300257,株式会社　ミライト・モバイル・イースト,株式会社　ミライト・モバイル・イースト　釧路営業所,北海道釧路市新橋大通1丁目2番20号　新橋ビル3F ,0154-25-5571,,,
派01-300258,東勝物流　株式会社,東勝物流　株式会社,北海道帯広市西20条南1-14,0155-33-8222,,,
派01-300261,有限会社ジュピネ・コム,有限会社ジュピネ・コム,北海道札幌市北区北7条西5丁目6番1号　ストークマンション札幌301号室,011-717-8277,,,
派01-300262,株式会社本山グリーン管理,株式会社本山グリーン管理,北海道苫小牧市船見町1丁目5番1号,0144-32-1331,,,
派01-300264,株式会社トライアングル・ジャパン,株式会社トライアングル・ジャパン,北海道旭川市東光1条2丁目2番2号,0166-34-2117,,,
派01-300264,株式会社トライアングル・ジャパン,株式会社　トライアングル・ジャパン　札幌支店,北海道札幌市北区北7条西2丁目6番地　37山京ビル311号室,011-768-8993,,,
派01-300265,有限会社　マルフジ竹田商会 ,有限会社　マルフジ竹田商会　本社営業所 ,北海道札幌市東区北丘珠4条1丁目15番6号,011-781-1873,,,
派01-300266,株式会社　全道警備センター,株式会社　全道警備センター,北海道札幌市豊平区平岸3条14丁目3番16号,011-821-9444,0人,0件,警備業
派01-300271,株式会社ヒューマンインプリンク,株式会社ヒューマンインプリンク,北海道札幌市中央区北2条西2-7　第2カミヤマビル5F,011-219-1701,,,
派01-300271,株式会社ヒューマンインプリンク,株式会社ヒューマンインプリンク　千歳支社,北海道千歳市柏台南1丁目3-1　千歳アルカディア・プラザ4F,0123-25-3221,,,
派01-300277,三宝運輸株式会社,三宝運輸株式会社,北海道釧路市鳥取南6丁目2番19号,0154-51-2847,,,
派01-300277,三宝運輸株式会社,三宝運輸株式会社　苫小牧営業所,北海道苫小牧市字沼ノ端601番10,0144-55-6175,2人,1件,
派01-300279,株式会社アシストワン,株式会社アシストワン,北海道河東郡音更町木野大通西14丁目1番地15,0155-30-2200,,,
派01-300279,株式会社アシストワン,株式会社アシストワン　札幌オフィス,北海道札幌市中央区北4条西2丁目1番地1　ｶﾒｲ札幌駅前ﾋﾞﾙ　9F,011-200-8700,,,
派01-300279,株式会社アシストワン,株式会社　アシストワン　北見オフィス,北海道北見市北3条西2丁目10番地　オアシスビル2F,0157-69-7000,,,
派01-300281,山高建設工業株式会社,山高建設工業株式会社,北海道留萌市明元町五丁目11番地,0164-42-1482,,,
派01-300282,株式会社サンコー,株式会社サンコー情報処理センター,北海道札幌市清田区北野2条3丁目11番22号　サンコー情報処理センタービル2F,011-882-3500,,,
派01-300283,アクロス株式会社,アクロス株式会社,北海道札幌市清田区平岡一条六丁目2-17,011-876-9440,18人,9件,倉庫内作業、フォークリフト作業
派01-300284,有限会社　南幌コープワーク ,有限会社　南幌コープワーク ,北海道空知郡南幌町栄町1丁目4番3号,011-378-2438,1人,1件,
派01-300285,株式会社マグナクルー,株式会社マグナクルー,北海道千歳市東雲町1丁目9番6号,0123-26-3878,,,
派01-300300,岩見沢通運株式会社,岩見沢通運株式会社　本社営業部,北海道岩見沢市東町673番地,0126-22-3437,,,
派01-300302,マスターズシステム株式会社,マスターズシステム株式会社,北海道札幌市中央区大通東7-18-1　ノースシティエンジニアビル4階,011-261-8642,,,
派01-300306,株式会社プライマリー・サポート・システム,株式会社プライマリー・サポート・システム,北海道札幌市東区北24条東16丁目1-4,011-780-8877,,,
派01-300307,アドバンスクリエイト株式会社,アドバンスクリエイト株式会社,北海道札幌市白石区南郷通19丁目北1-31　豊川ビル3F,011-868-7515,,,運送業
派01-300309,斜里建設工業株式会社,斜里建設工業株式会社　本社事務所,北海道斜里郡斜里町新光町51番地1,0152-23-2408,,,
派01-300311,株式会社　仕事屋,株式会社　仕事屋,北海道河東郡音更町緑陽台南区14番地8,0155-31-0706,4人,46件,
派01-300313,有限会社ヤマヤ山本水産,有限会社ヤマヤ山本水産,北海道釧路郡釧路町わらび3丁目8番地,0154-40-3178,61人,1件,水産加工
派01-300314,札幌ユニオン新管財株式会社,札幌ユニオン新管財株式会社,北海道札幌市中央区北5条西6-1　第二道通ビル8F,011-231-6837,,,
派01-300315,株式会社ＧＳＩ,株式会社ＧＳＩ,北海道札幌市北区北7条西1丁目1番地2　SE札幌ﾋﾞﾙ13F,011-726-7771,10人,5件,システム開発、ソフトウェア開発、Webサービス
派01-300316,網走交通株式会社,網走交通株式会社　網走営業所,北海道網走市港町72-2,0152-45-2020,0人,0件,
派01-300320,北網運輸株式会社,北網運輸株式会社,北海道網走市緑町4番1-1号,0152-45-1125,6人,2件,
派01-300324,日本管財サービス　株式会社 ,日本管財サービス　株式会社,北海道千歳市青葉8丁目3番1号,0123-24-0800,,,
派01-300327,株式会社安田工業,株式会社安田工業,北海道千歳市白樺六丁目16番地2,0123-28-3465,,,
派01-300331,美瑛通運　株式会社,美瑛通運　株式会社,北海道上川郡美瑛町大町3丁目503番地64,0166-92-1161,21人,13件,
派01-300339,株式会社さくらコミュニティサービス,株式会社　さくらコミュニティサービス,北海道札幌市北区北四十条西四丁目2番7号　札幌N40ビル6F ,011-707-3987,,,介護職
派01-300346,株式会社ＢＥＣＫ,株式会社ＢＥＣＫ,北海道札幌市北区北33条西2-1-7　SAKURA-N33 B,011-706-0077,30人,18件,
派01-300347,株式会社ホンマファシリティーズ,株式会社ホンマファシリティーズ 　北斗営業所,北海道北斗市七重浜2丁目37番5号,0138-83-1391,20人,8件,製造業
派01-300349,株式会社フラクタル,株式会社フラクタル,北海道札幌市中央区南二条東一丁目1番13　南2条ビル4階,011-241-6265,4人,3件,
派01-300359,有限会社　青帽,有限会社　青帽,北海道札幌市白石区流通センター2丁目2番1号,011-595-7740,,,
派01-300367,有限会社マリンシステム,有限会社マリンシステム,北海道札幌市中央区南二条東二丁目8番地1　大都ビル6階,011-271-7500,,,
派01-300369,株式会社共成レンテム,株式会社共成レンテム,北海道帯広市西十八条北一丁目14番地,0155-33-1380,0人,0件,
派01-300379,株式会社メリーワーク,株式会社メリーワーク,北海道夕張郡由仁町本町151　そらち南農業協同組合由仁支所2階,0123-83-2362,,,
派01-300385,株式会社　アフターステーション,株式会社　アフターステーション　,北海道帯広市西二十五条南一丁目12番地21,0155-67-0243,22人,6件,
派01-300388,有限会社　東洋梱包,有限会社　東洋梱包,北海道札幌市白石区菊水6条2丁目8－20　第一中村ﾋﾞﾙ,011-822-1045,1人,1件,
派01-300389,明作運輸株式会社,明作運輸　株式会社,北海道釧路市城山1-10-15,0154-42-0646,1人,1件,
派01-300391,株式会社　ネオプロセス,株式会社　ネオプロセス,北海道帯広市西16条南1丁目47番15号,0155-66-5150,,,
